SLOT 1 | 主武器 | stat keys: ['MIN_W_ATK', 'MAX_W_ATK']
   Lv71 Tier3: {'MIN_W_ATK': 26, 'MAX_W_ATK': 61}
   Lv71 Tier4: {'MIN_W_ATK': 30, 'MAX_W_ATK': 69}
   Lv71 Tier5: {'MIN_W_ATK': 33, 'MAX_W_ATK': 76}
   Lv81 Tier3: {'MIN_W_ATK': 32, 'MAX_W_ATK': 73}
   Lv81 Tier4: {'MIN_W_ATK': 35, 'MAX_W_ATK': 82}
   Lv81 Tier5: {'MIN_W_ATK': 39, 'MAX_W_ATK': 91}
   Lv86 Tier3: {'MIN_W_ATK': 37, 'MAX_W_ATK': 85}
   Lv86 Tier4: {'MIN_W_ATK': 41, 'MAX_W_ATK': 96}
   Lv86 Tier5: {'MIN_W_ATK': 46, 'MAX_W_ATK': 106}
   Lv91 Tier3: {'MIN_W_ATK': 43, 'MAX_W_ATK': 99}
   Lv91 Tier4: {'MIN_W_ATK': 48, 'MAX_W_ATK': 112}
   Lv91 Tier5: {'MIN_W_ATK': 53, 'MAX_W_ATK': 124}
   Lv96 Tier3: {'MIN_W_ATK': 52, 'MAX_W_ATK': 121}
   Lv96 Tier4: {'MIN_W_ATK': 59, 'MAX_W_ATK': 136}
   Lv96 Tier5: {'MIN_W_ATK': 65, 'MAX_W_ATK': 151}
   Lv100 Tier3: {'MAX_W_ATK': 140, 'MIN_W_ATK': 60}
   Lv100 Tier4: {'MAX_W_ATK': 158, 'MIN_W_ATK': 68}
   Lv100 Tier5: {'MAX_W_ATK': 175, 'MIN_W_ATK': 75}
   Lv105 Tier3: {'MAX_W_ATK': 162, 'MIN_W_ATK': 70}
   Lv105 Tier4: {'MAX_W_ATK': 183, 'MIN_W_ATK': 79}
   Lv105 Tier5: {'MAX_W_ATK': 203, 'MIN_W_ATK': 87}

SLOT 2 | 副武器 | stat keys: ['MIN_W_ATK', 'MAX_W_ATK']
   Lv71 Tier3: {'MIN_W_ATK': 26, 'MAX_W_ATK': 61}
   Lv71 Tier4: {'MIN_W_ATK': 30, 'MAX_W_ATK': 69}
   Lv71 Tier5: {'MIN_W_ATK': 33, 'MAX_W_ATK': 76}
   Lv81 Tier3: {'MIN_W_ATK': 32, 'MAX_W_ATK': 73}
   Lv81 Tier4: {'MIN_W_ATK': 35, 'MAX_W_ATK': 82}
   Lv81 Tier5: {'MIN_W_ATK': 39, 'MAX_W_ATK': 91}
   Lv86 Tier3: {'MIN_W_ATK': 37, 'MAX_W_ATK': 85}
   Lv86 Tier4: {'MIN_W_ATK': 41, 'MAX_W_ATK': 96}
   Lv86 Tier5: {'MIN_W_ATK': 46, 'MAX_W_ATK': 106}
   Lv91 Tier3: {'MIN_W_ATK': 43, 'MAX_W_ATK': 99}
